Operation,Details,Date
175682188386107393,GALLERYT3ECUKJL3NMYVEXZZEPJ3O7CHYFY2ODETC2LQ2DBHBYHD444W updated offer 991143637 – sell 200 XLM for AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA at 61.7 AQUA/XLMMemo (TEXT):_bot_sell_The memo contains optional extra information. It is the responsibility of the client to interpret this value.Memos can be one of the following types:MEMO_TEXT: A string up to 28-bytes long.MEMO_ID: A 64 bit unsigned integer.MEMO_HASH: A 32 byte hash.MEMO_RETURN: A 32 byte hash intended to be interpreted as the hash of the transaction the sender is refunding.Read more…,2022-05-16 19:46:12 UTC
175682188385943555,GACBT2BIEZCSZRSJC4BSARF2TFNGJPGT7RMFIF3M3DBK3YOMN7DOEAJ2 updated offer 991034128 – sell 800 XLM for AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA at 61.7 AQUA/XLM,2022-05-16 19:46:12 UTC
175682188385943554,"GACBT2BIEZCSZRSJC4BSARF2TFNGJPGT7RMFIF3M3DBK3YOMN7DOEAJ2 updated offer 990747323 – sell 2,821.8989865 XLM for AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA at 62.4 AQUA/XLM",2022-05-16 19:46:12 UTC
175682188385943553,GACBT2BIEZCSZRSJC4BSARF2TFNGJPGT7RMFIF3M3DBK3YOMN7DOEAJ2 updated offer 991143832 – buy 13.4510199 XLM for AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA at 61.3 AQUA/XLM,2022-05-16 19:46:12 UTC
175682188385767425,"GDO7FV2PB3NHWYC73VSODLT2KABPK5YU62L2SUDLYHX65PPUF3MMW47G updated offer 991144639 – sell 120,508.6331776 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA for XLM at 0.018 XLM/AQUA",2022-05-16 19:46:12 UTC
175682188385460225,"GDD2IR37UILEFR7Z35EPIRD4HGFY6DGEIWPVEBD4Y75ARCF27EKK6RU5 transferred 3,000 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA 2,042,160.0588235 SAFEPEN-GDJOOO4QRCCSNFIGON2IW3P7PCBYWTFF7JFMSHW7SGSHEOSQNFJPWJBU (min 2,025,779.9210924 SAFEPEN-GDJOOO4QRCCSNFIGON2IW3P7PCBYWTFF7JFMSHW7SGSHEOSQNFJPWJBU) to GDD2IR37UILEFR7Z35EPIRD4HGFY6DGEIWPVEBD4Y75ARCF27EKK6RU5",2022-05-16 19:46:12 UTC
175682188385345587,GAKV47SVFSLQMZH2BBYSLQNOR7CDBCJC7VFVMPTRRFYC2E5WPCQFVYDO transferred 12 RareEarthEF-GANKA7JHQECA3ASRDLNV5CEKTRNIYQAHAZXDR2632UV6WUJ75GUYLBNV 0.0808257 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA (min 0.0414732 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA) to GAKV47SVFSLQMZH2BBYSLQNOR7CDBCJC7VFVMPTRRFYC2E5WPCQFVYDO,2022-05-16 19:46:12 UTC
175682188385345583,GAKV47SVFSLQMZH2BBYSLQNOR7CDBCJC7VFVMPTRRFYC2E5WPCQFVYDO transferred 16 REIT-GANKA7JHQECA3ASRDLNV5CEKTRNIYQAHAZXDR2632UV6WUJ75GUYLBNV 0.0388471 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA (min 0.0199292 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA) to GAKV47SVFSLQMZH2BBYSLQNOR7CDBCJC7VFVMPTRRFYC2E5WPCQFVYDO,2022-05-16 19:46:12 UTC
175682188385345579,GAKV47SVFSLQMZH2BBYSLQNOR7CDBCJC7VFVMPTRRFYC2E5WPCQFVYDO transferred 13 XAUoz-GANKA7JHQECA3ASRDLNV5CEKTRNIYQAHAZXDR2632UV6WUJ75GUYLBNV 0.078932 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA (min 0.0400316 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA) to GAKV47SVFSLQMZH2BBYSLQNOR7CDBCJC7VFVMPTRRFYC2E5WPCQFVYDO,2022-05-16 19:46:12 UTC
175682188385345575,GAKV47SVFSLQMZH2BBYSLQNOR7CDBCJC7VFVMPTRRFYC2E5WPCQFVYDO transferred 15 USDollar-GANKA7JHQECA3ASRDLNV5CEKTRNIYQAHAZXDR2632UV6WUJ75GUYLBNV 0.0091095 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA (min 0.0046712 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA) to GAKV47SVFSLQMZH2BBYSLQNOR7CDBCJC7VFVMPTRRFYC2E5WPCQFVYDO,2022-05-16 19:46:12 UTC
175682188385345571,GAKV47SVFSLQMZH2BBYSLQNOR7CDBCJC7VFVMPTRRFYC2E5WPCQFVYDO transferred 1 STELLRUS-GCN7H4HNFVXZDRIVE77EBIO3B43H76MLOJL5KTPKWVZ5EGVVSH632BVS 0.0753222 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA (min 0.0386092 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA) to GAKV47SVFSLQMZH2BBYSLQNOR7CDBCJC7VFVMPTRRFYC2E5WPCQFVYDO,2022-05-16 19:46:12 UTC
175682188385345567,GAKV47SVFSLQMZH2BBYSLQNOR7CDBCJC7VFVMPTRRFYC2E5WPCQFVYDO transferred 1 ETERNUM-GCN7H4HNFVXZDRIVE77EBIO3B43H76MLOJL5KTPKWVZ5EGVVSH632BVS 0.0431411 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA (min 0.0218654 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA) to GAKV47SVFSLQMZH2BBYSLQNOR7CDBCJC7VFVMPTRRFYC2E5WPCQFVYDO,2022-05-16 19:46:12 UTC
175682188385345563,"GAKV47SVFSLQMZH2BBYSLQNOR7CDBCJC7VFVMPTRRFYC2E5WPCQFVYDO transferred 2,600 RHBULLION-GCYNLUPQ57HQT354QEPPD4UHBTJL5G3YTB2SC3XTBCYYSO4ZRQKKIPAY 0.0474054 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA (min 0.0242882 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA) to GAKV47SVFSLQMZH2BBYSLQNOR7CDBCJC7VFVMPTRRFYC2E5WPCQFVYDO",2022-05-16 19:46:12 UTC
175682188385345559,"GAKV47SVFSLQMZH2BBYSLQNOR7CDBCJC7VFVMPTRRFYC2E5WPCQFVYDO transferred 2,200 JPSILVERMINE-GCYNLUPQ57HQT354QEPPD4UHBTJL5G3YTB2SC3XTBCYYSO4ZRQKKIPAY 0.0401213 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA (min 0.0203258 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA) to GAKV47SVFSLQMZH2BBYSLQNOR7CDBCJC7VFVMPTRRFYC2E5WPCQFVYDO",2022-05-16 19:46:12 UTC
175682188385345555,"GAKV47SVFSLQMZH2BBYSLQNOR7CDBCJC7VFVMPTRRFYC2E5WPCQFVYDO transferred 2,399 RHDIVIDEND-GCYNLUPQ57HQT354QEPPD4UHBTJL5G3YTB2SC3XTBCYYSO4ZRQKKIPAY 0.0437598 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA (min 0.0224107 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA) to GAKV47SVFSLQMZH2BBYSLQNOR7CDBCJC7VFVMPTRRFYC2E5WPCQFVYDO",2022-05-16 19:46:12 UTC
175682188385345551,"GAKV47SVFSLQMZH2BBYSLQNOR7CDBCJC7VFVMPTRRFYC2E5WPCQFVYDO transferred 3,000 JPGOLDMINE-GCYNLUPQ57HQT354QEPPD4UHBTJL5G3YTB2SC3XTBCYYSO4ZRQKKIPAY 0.0547364 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA (min 0.0280243 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA) to GAKV47SVFSLQMZH2BBYSLQNOR7CDBCJC7VFVMPTRRFYC2E5WPCQFVYDO",2022-05-16 19:46:12 UTC
175682188385345547,"GAKV47SVFSLQMZH2BBYSLQNOR7CDBCJC7VFVMPTRRFYC2E5WPCQFVYDO transferred 3,000 NATGOLDCHINA-GDNYXO5ZMBJT47BU54K5BS27N2COF54QNG67MCCM5BOVBLSJ263YABDC 0.0182488 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA (min 0.0092395 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA) to GAKV47SVFSLQMZH2BBYSLQNOR7CDBCJC7VFVMPTRRFYC2E5WPCQFVYDO",2022-05-16 19:46:12 UTC
175682188385345543,"GAKV47SVFSLQMZH2BBYSLQNOR7CDBCJC7VFVMPTRRFYC2E5WPCQFVYDO transferred 2,900 REE-GB3LK77V6PA56GL6ETUPGBIL5N3WTUEHFOJRTTUM2RJTLZ6VTMVYGMMG 0.0529314 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA (min 0.0270902 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA) to GAKV47SVFSLQMZH2BBYSLQNOR7CDBCJC7VFVMPTRRFYC2E5WPCQFVYDO",2022-05-16 19:46:12 UTC
175682188385345539,"GAKV47SVFSLQMZH2BBYSLQNOR7CDBCJC7VFVMPTRRFYC2E5WPCQFVYDO transferred 2,800 NLMK-GBDLWWI2XSRNL4JDRWB2YVMH2MB7HA2NALJYCK6AZGQTJ2VKPQQU7KKS 0.0170384 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA (min 0.0086236 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA) to GAKV47SVFSLQMZH2BBYSLQNOR7CDBCJC7VFVMPTRRFYC2E5WPCQFVYDO",2022-05-16 19:46:12 UTC
175682188385206299,GC5EJFL6Z5T32QDB4SSWPG3NUXU6RCLPB3HRNGQAKUZQGUPMREEWEEK3 transferred 1 PENDULUM-GBBIIQAP7H6H5WIGUUFTAHJMH7FDHYAEYQN2F2XUUWN5BCTYOYAPPEND 0.0061524 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA (min 0.0031484 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA) to GC5EJFL6Z5T32QDB4SSWPG3NUXU6RCLPB3HRNGQAKUZQGUPMREEWEEK3,2022-05-16 19:46:12 UTC
175682188385206295,GC5EJFL6Z5T32QDB4SSWPG3NUXU6RCLPB3HRNGQAKUZQGUPMREEWEEK3 transferred 10 ROSEAU-GDXBHPKWVU7VT5ZOHK5JQDOZS5XMKWOLKBXXXX5JOSVEAIDZFDS6ABDC 0.0304304 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA (min 0.01557 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA) to GC5EJFL6Z5T32QDB4SSWPG3NUXU6RCLPB3HRNGQAKUZQGUPMREEWEEK3,2022-05-16 19:46:12 UTC
175682188385206291,GC5EJFL6Z5T32QDB4SSWPG3NUXU6RCLPB3HRNGQAKUZQGUPMREEWEEK3 transferred 1 PENDULUMSWAP-GBBIIQAP7H6H5WIGUUFTAHJMH7FDHYAEYQN2F2XUUWN5BCTYOYAPPEND 0.0062023 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA (min 0.0031734 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA) to GC5EJFL6Z5T32QDB4SSWPG3NUXU6RCLPB3HRNGQAKUZQGUPMREEWEEK3,2022-05-16 19:46:12 UTC
175682188385206287,GC5EJFL6Z5T32QDB4SSWPG3NUXU6RCLPB3HRNGQAKUZQGUPMREEWEEK3 transferred 5 OGC-GDXBHPKWVU7VT5ZOHK5JQDOZS5XMKWOLKBXXXX5JOSVEAIDZFDS6ABDC 0.0456864 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA (min 0.0231125 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA) to GC5EJFL6Z5T32QDB4SSWPG3NUXU6RCLPB3HRNGQAKUZQGUPMREEWEEK3,2022-05-16 19:46:12 UTC
175682188385206283,GC5EJFL6Z5T32QDB4SSWPG3NUXU6RCLPB3HRNGQAKUZQGUPMREEWEEK3 transferred 2 Spacewalk-GBBIIQAP7H6H5WIGUUFTAHJMH7FDHYAEYQN2F2XUUWN5BCTYOYAPPEND 0.0121889 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA (min 0.0062345 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA) to GC5EJFL6Z5T32QDB4SSWPG3NUXU6RCLPB3HRNGQAKUZQGUPMREEWEEK3,2022-05-16 19:46:12 UTC
175682188385206279,GC5EJFL6Z5T32QDB4SSWPG3NUXU6RCLPB3HRNGQAKUZQGUPMREEWEEK3 transferred 5 MELD-GDXBHPKWVU7VT5ZOHK5JQDOZS5XMKWOLKBXXXX5JOSVEAIDZFDS6ABDC 0.0164093 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA (min 0.0083926 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA) to GC5EJFL6Z5T32QDB4SSWPG3NUXU6RCLPB3HRNGQAKUZQGUPMREEWEEK3,2022-05-16 19:46:12 UTC
175682188385206275,GC5EJFL6Z5T32QDB4SSWPG3NUXU6RCLPB3HRNGQAKUZQGUPMREEWEEK3 transferred 3 STARLIGHT-GBBIIQAP7H6H5WIGUUFTAHJMH7FDHYAEYQN2F2XUUWN5BCTYOYAPPEND 0.0186151 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA (min 0.0095198 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA) to GC5EJFL6Z5T32QDB4SSWPG3NUXU6RCLPB3HRNGQAKUZQGUPMREEWEEK3,2022-05-16 19:46:12 UTC
175682188384706562,"GALVNE5GC6TMDESFPXU4UVD6QD44SAN5NMWO5DBJ4ASB2DHQIZ5M2CIW updated offer 989054357 – sell 7,122.3726274 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA for yXLM-GARDNV3Q7YGT4AKSDF25LT32YSCCW4EV22Y2TV3I2PU2MMXJTEDL5T55 at 0.017 yXLM/AQUA",2022-05-16 19:46:12 UTC
175682188384706561,GALVNE5GC6TMDESFPXU4UVD6QD44SAN5NMWO5DBJ4ASB2DHQIZ5M2CIW updated offer 984301164 – sell 423.9683449 yXLM-GARDNV3Q7YGT4AKSDF25LT32YSCCW4EV22Y2TV3I2PU2MMXJTEDL5T55 for AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA at 63.9 AQUA/yXLM,2022-05-16 19:46:12 UTC
175682188384256017,GA6BKV237WQ7ZJE53O6LATAZUTYOAFAZQ57UO435JV2QK6HKHO2UCWOK updated offer 991125887 – sell 0.1669986 USDC-GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN for AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA at 465 AQUA/USDC,2022-05-16 19:46:12 UTC
175682188384256016,GA6BKV237WQ7ZJE53O6LATAZUTYOAFAZQ57UO435JV2QK6HKHO2UCWOK updated offer 991117396 – sell 0.09277 USDC-GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN for AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA at 458 AQUA/USDC,2022-05-16 19:46:12 UTC
